node_id,node_type,label,source_statement,confidence
actor::ifa,actor,ifa,S001,0.5
actor::ifa,actor,ifa,S010,0.5
actor::user,actor,user,S011,0.5
actor::users,actor,users,S011,0.5
actor::fan,actor,fan,S011,0.5
actor::fans,actor,fans,S011,0.5
feature::portal,feature,portal,S011,0.5
feature::budget,feature,budget,S011,0.5
feature::report,feature,report,S011,0.5
feature::reporting,feature,reporting,S011,0.5
feature::scheduling,feature,scheduling,S011,0.5
feature::fan_portal,feature,fan portal,S011,0.5
action::report,action,report,S011,0.5
feature::budget,feature,budget,S013,0.5
actor::ifa,actor,ifa,S014,0.5
feature::budget,feature,budget,S017,0.5
actor::player,actor,player,S019,0.5
actor::team,actor,team,S021,0.5
actor::team,actor,team,S022,0.5
actor::player,actor,player,S022,0.5
actor::players,actor,players,S022,0.5
actor::team,actor,team,S025,0.5
actor::ifa,actor,ifa,S025,0.5
feature::budget,feature,budget,S025,0.5
actor::team,actor,team,S029,0.5
feature::budget,feature,budget,S029,0.5
action::manage,action,manage,S029,0.5
actor::ifa,actor,ifa,S030,0.5
action::manage,action,manage,S030,0.5
action::monitor,action,monitor,S030,0.5
constraint::only,constraint,only,S030,0.5
actor::team,actor,team,S031,0.5
actor::ifa,actor,ifa,S031,0.5
feature::budget,feature,budget,S031,0.5
constraint::only,constraint,only,S031,0.5
actor::ifa,actor,ifa,S033,0.5
action::audit,action,audit,S033,0.5
constraint::only,constraint,only,S033,0.5
feature::budget,feature,budget,S034,0.5
constraint::should,constraint,should,S034,0.5
actor::team,actor,team,S037,0.5
action::access,action,access,S037,0.5
feature::report,feature,report,S041,0.5
action::report,action,report,S041,0.5
action::audit,action,audit,S043,0.5
actor::team,actor,team,S046,0.5
actor::ifa,actor,ifa,S046,0.5
actor::team,actor,team,S051,0.5
actor::team_manager,actor,team manager,S051,0.5
action::manage,action,manage,S051,0.5
feature::budget,feature,budget,S053,0.5
feature::budgeting,feature,budgeting,S053,0.5
action::access,action,access,S053,0.5
feature::budget,feature,budget,S054,0.5
feature::budgeting,feature,budgeting,S054,0.5
actor::team,actor,team,S055,0.5
actor::ifa,actor,ifa,S055,0.5
actor::ifa_administrative,actor,ifa administrative,S055,0.5
feature::budget,feature,budget,S061,0.5
feature::budgeting,feature,budgeting,S061,0.5
feature::report,feature,report,S061,0.5
action::report,action,report,S061,0.5
actor::team,actor,team,S062,0.5
actor::referee,actor,referee,S062,0.5
actor::referees,actor,referees,S062,0.5
feature::report,feature,report,S062,0.5
action::report,action,report,S062,0.5
actor::team,actor,team,S063,0.5
actor::referee,actor,referee,S063,0.5
feature::report,feature,report,S064,0.5
action::report,action,report,S064,0.5
actor::referee,actor,referee,S065,0.5
actor::team,actor,team,S066,0.5
feature::report,feature,report,S068,0.5
action::report,action,report,S068,0.5
feature::budget,feature,budget,S069,0.5
feature::budgeting,feature,budgeting,S069,0.5
feature::report,feature,report,S070,0.5
action::report,action,report,S070,0.5
feature::scheduling,feature,scheduling,S071,0.5
actor::referee,actor,referee,S075,0.5
actor::ifa,actor,ifa,S075,0.5
feature::report,feature,report,S075,0.5
action::report,action,report,S075,0.5
actor::referee,actor,referee,S076,0.5
action::insert,action,insert,S076,0.5
constraint::real_time,constraint,real time,S078,0.5
actor::referee,actor,referee,S079,0.5
action::insert,action,insert,S079,0.5
constraint::only,constraint,only,S079,0.5
quality attribute::reliable,quality attribute,reliable,S080,0.5
actor::referee,actor,referee,S081,0.5
action::update,action,update,S081,0.5
constraint::only,constraint,only,S081,0.5
actor::player,actor,player,S082,0.5
actor::team,actor,team,S088,0.5
actor::team,actor,team,S089,0.5
actor::team,actor,team,S090,0.5
action::access,action,access,S090,0.5
quality attribute::transparency,quality attribute,transparency,S094,0.5
feature::budget,feature,budget,S096,0.5
action::register,action,register,S096,0.5
constraint::should,constraint,should,S096,0.5
action::export,action,export,S097,0.5
actor::referee,actor,referee,S101,0.5
feature::report,feature,report,S102,0.5
feature::reporting,feature,reporting,S102,0.5
action::report,action,report,S102,0.5
feature::report,feature,report,S103,0.5
action::report,action,report,S103,0.5
actor::team,actor,team,S104,0.5
actor::team_manager,actor,team manager,S104,0.5
action::manage,action,manage,S104,0.5
actor::team,actor,team,S105,0.5
actor::player,actor,player,S105,0.5
feature::report,feature,report,S105,0.5
action::report,action,report,S105,0.5
actor::team,actor,team,S107,0.5
feature::budget,feature,budget,S108,0.5
action::manage,action,manage,S108,0.5
actor::team,actor,team,S109,0.5
actor::team,actor,team,S111,0.5
actor::team_manager,actor,team manager,S111,0.5
actor::team_administration,actor,team administration,S111,0.5
action::manage,action,manage,S111,0.5
feature::budget,feature,budget,S113,0.5
feature::budgeting,feature,budgeting,S113,0.5
actor::ifa,actor,ifa,S114,0.5
feature::budget,feature,budget,S119,0.5
action::insert,action,insert,S119,0.5
actor::team,actor,team,S120,0.5
constraint::only,constraint,only,S120,0.5
action::access,action,access,S122,0.5
constraint::only,constraint,only,S122,0.5
actor::ifa,actor,ifa,S124,0.5
action::view,action,view,S124,0.5
constraint::only,constraint,only,S124,0.5
action::monitor,action,monitor,S127,0.5
constraint::cannot,constraint,cannot,S127,0.5
feature::budget,feature,budget,S130,0.5
feature::report,feature,report,S130,0.5
feature::reporting,feature,reporting,S130,0.5
action::report,action,report,S130,0.5
feature::scheduling,feature,scheduling,S131,0.5
feature::schedule,feature,schedule,S132,0.5
action::schedule,action,schedule,S132,0.5
actor::team,actor,team,S134,0.5
feature::schedule,feature,schedule,S134,0.5
action::schedule,action,schedule,S134,0.5
feature::scheduling,feature,scheduling,S136,0.5
feature::schedule,feature,schedule,S140,0.5
action::schedule,action,schedule,S140,0.5
action::define,action,define,S140,0.5
actor::team,actor,team,S141,0.5
feature::scheduling,feature,scheduling,S145,0.5
constraint::should,constraint,should,S145,0.5
actor::referee,actor,referee,S148,0.5
actor::referees,actor,referees,S148,0.5
feature::scheduling,feature,scheduling,S148,0.5
actor::referee,actor,referee,S150,0.5
action::assign,action,assign,S150,0.5
action::view,action,view,S152,0.5
actor::referee,actor,referee,S153,0.5
feature::scheduling,feature,scheduling,S155,0.5
actor::referee,actor,referee,S156,0.5
actor::referees,actor,referees,S156,0.5
constraint::should,constraint,should,S156,0.5
actor::team,actor,team,S157,0.5
actor::referee,actor,referee,S157,0.5
actor::referee,actor,referee,S160,0.5
actor::referees,actor,referees,S160,0.5
actor::referee,actor,referee,S162,0.5
actor::referees,actor,referees,S162,0.5
action::assign,action,assign,S162,0.5
constraint::cannot,constraint,cannot,S164,0.5
feature::scheduling,feature,scheduling,S165,0.5
constraint::cannot,constraint,cannot,S167,0.5
actor::team,actor,team,S170,0.5
feature::schedule,feature,schedule,S170,0.5
action::schedule,action,schedule,S170,0.5
actor::team,actor,team,S171,0.5
feature::schedule,feature,schedule,S171,0.5
action::schedule,action,schedule,S171,0.5
feature::scheduling,feature,scheduling,S172,0.5
feature::schedule,feature,schedule,S174,0.5
action::schedule,action,schedule,S174,0.5
constraint::cannot,constraint,cannot,S176,0.5
constraint::cannot_be,constraint,cannot be,S176,0.5
feature::schedule,feature,schedule,S179,0.5
action::schedule,action,schedule,S179,0.5
feature::schedule,feature,schedule,S180,0.5
action::schedule,action,schedule,S180,0.5
feature::scheduling,feature,scheduling,S186,0.5
action::view,action,view,S186,0.5
action::override,action,override,S187,0.5
quality attribute::transparency,quality attribute,transparency,S189,0.5
actor::ifa,actor,ifa,S190,0.5
actor::ifa_representative,actor,ifa representative,S190,0.5
constraint::should,constraint,should,S190,0.5
actor::team,actor,team,S193,0.5
actor::ifa,actor,ifa,S193,0.5
feature::schedule,feature,schedule,S193,0.5
feature::scheduling,feature,scheduling,S193,0.5
action::schedule,action,schedule,S193,0.5
action::approve,action,approve,S193,0.5
feature::scheduling,feature,scheduling,S194,0.5
constraint::only,constraint,only,S195,0.5
actor::ifa,actor,ifa,S196,0.5
actor::ifa_representative,actor,ifa representative,S196,0.5
feature::scheduling,feature,scheduling,S196,0.5
action::override,action,override,S196,0.5
actor::ifa,actor,ifa,S202,0.5
feature::schedule,feature,schedule,S202,0.5
action::schedule,action,schedule,S202,0.5
action::approve,action,approve,S207,0.5
actor::team,actor,team,S210,0.5
actor::referee,actor,referee,S210,0.5
actor::referees,actor,referees,S210,0.5
actor::fan,actor,fan,S211,0.5
actor::fans,actor,fans,S211,0.5
actor::team,actor,team,S215,0.5
constraint::should,constraint,should,S216,0.5
constraint::minimum,constraint,minimum,S216,0.5
feature::scheduling,feature,scheduling,S217,0.5
feature::schedule,feature,schedule,S220,0.5
action::schedule,action,schedule,S220,0.5
constraint::should,constraint,should,S220,0.5
actor::team,actor,team,S221,0.5
constraint::at_least,constraint,at least,S221,0.5
action::define,action,define,S222,0.5
actor::fan,actor,fan,S225,0.5
feature::portal,feature,portal,S225,0.5
feature::fan_portal,feature,fan portal,S225,0.5
actor::fan,actor,fan,S226,0.5
actor::fans,actor,fans,S226,0.5
actor::fan,actor,fan,S229,0.5
actor::fans,actor,fans,S229,0.5
feature::schedule,feature,schedule,S232,0.5
action::schedule,action,schedule,S232,0.5
actor::player,actor,player,S234,0.5
constraint::should,constraint,should,S234,0.5
actor::fan,actor,fan,S235,0.5
action::view,action,view,S235,0.5
feature::notification,feature,notification,S237,0.5
action::register,action,register,S237,0.5
feature::schedule,feature,schedule,S238,0.5
feature::notification,feature,notification,S238,0.5
action::schedule,action,schedule,S238,0.5
actor::player,actor,player,S240,0.5
actor::players,actor,players,S240,0.5
action::register,action,register,S240,0.5
action::register,action,register,S241,0.5
feature::notification,feature,notification,S242,0.5
actor::fan,actor,fan,S246,0.5
actor::fans,actor,fans,S246,0.5
actor::team,actor,team,S248,0.5
actor::fan,actor,fan,S248,0.5
actor::fans,actor,fans,S248,0.5
actor::player,actor,player,S248,0.5
actor::players,actor,players,S248,0.5
feature::portal,feature,portal,S248,0.5
feature::fan_portal,feature,fan portal,S248,0.5
action::register,action,register,S250,0.5
action::register,action,register,S251,0.5
actor::fan,actor,fan,S252,0.5
feature::portal,feature,portal,S252,0.5
feature::notification,feature,notification,S252,0.5
feature::fan_portal,feature,fan portal,S252,0.5
action::subscribe,action,subscribe,S252,0.5
actor::team,actor,team,S253,0.5
actor::fan,actor,fan,S253,0.5
actor::player,actor,player,S253,0.5
feature::notification,feature,notification,S253,0.5
actor::referee,actor,referee,S254,0.5
actor::referees,actor,referees,S254,0.5
actor::fan,actor,fan,S254,0.5
actor::fans,actor,fans,S254,0.5
feature::report,feature,report,S254,0.5
feature::reporting,feature,reporting,S254,0.5
action::update,action,update,S254,0.5
action::report,action,report,S254,0.5
actor::team,actor,team,S256,0.5
feature::notification,feature,notification,S257,0.5
action::subscribe,action,subscribe,S257,0.5
actor::referee,actor,referee,S258,0.5
actor::player,actor,player,S258,0.5
feature::report,feature,report,S258,0.5
feature::reporting,feature,reporting,S258,0.5
feature::notification,feature,notification,S258,0.5
action::register,action,register,S258,0.5
action::report,action,report,S258,0.5
feature::budget,feature,budget,S263,0.5
feature::budgeting,feature,budgeting,S263,0.5
feature::report,feature,report,S263,0.5
feature::reporting,feature,reporting,S263,0.5
feature::notification,feature,notification,S263,0.5
action::report,action,report,S263,0.5
feature::notification,feature,notification,S264,0.5
feature::notification,feature,notification,S265,0.5
actor::team,actor,team,S269,0.5
actor::ifa,actor,ifa,S269,0.5
actor::ifa_administrative,actor,ifa administrative,S269,0.5
actor::referee,actor,referee,S270,0.5
actor::fan,actor,fan,S270,0.5
actor::fans,actor,fans,S270,0.5
feature::mobile_application,feature,mobile application,S270,0.5
actor::fan,actor,fan,S272,0.5
feature::budget,feature,budget,S272,0.5
feature::budgeting,feature,budgeting,S272,0.5
feature::report,feature,report,S272,0.5
feature::reporting,feature,reporting,S272,0.5
action::report,action,report,S272,0.5
action::access,action,access,S276,0.5
feature::portal,feature,portal,S280,0.5
action::update,action,update,S280,0.5
actor::referee,actor,referee,S285,0.5
action::update,action,update,S285,0.5
constraint::only,constraint,only,S285,0.5
quality attribute::reliable,quality attribute,reliable,S286,0.5
actor::referee,actor,referee,S288,0.5
actor::referees,actor,referees,S288,0.5
constraint::only,constraint,only,S288,0.5
actor::fan,actor,fan,S290,0.5
actor::fans,actor,fans,S290,0.5
feature::portal,feature,portal,S291,0.5
quality attribute::performance,quality attribute,performance,S296,0.5
actor::fan,actor,fan,S298,0.5
actor::fans,actor,fans,S298,0.5
actor::fan,actor,fan,S299,0.5
actor::fans,actor,fans,S299,0.5
feature::notification,feature,notification,S299,0.5
actor::fan,actor,fan,S301,0.5
actor::fans,actor,fans,S301,0.5
action::register,action,register,S301,0.5
actor::team,actor,team,S305,0.5
feature::report,feature,report,S305,0.5
action::report,action,report,S305,0.5
actor::team,actor,team,S306,0.5
